BRAND,CATEGORY,COLOR,CUSTOMER_ID,ORDER_COUNTRY,ORDER_DATE,ORDER_ID,ORDER_STATUS,PAYMENT_METHOD,PRODUCT_NAME,QUANTITY,SHIPPING_METHOD,SIZE,SUB-CATEGORY,UNIT_PRICE
J.Crew,Men's Clothing,Grey,2005,Saudi Arabia,2022-02-01,ORD-1057,Shipped,Credit/Debit Card,V-Neck Cashmere Sweater,2,Standard,Size XL,Sweaters,119.99
H&M Kids,Kids Clothing,Pink and Green,2262,Egypt,2022-02-01,ORD-721,Shipped,Cash on Delivery,Pink Floral Dress,8,Express,Size 6,Dresses,24.99
Levi's,Women's Clothing,Dark Blue,1998,United Arab Emirates,2022-02-02,ORD-1327,Delivered,Credit/Debit Card,High-Waisted Skinny Jeans,2,Standard,Size 28,Bottoms,79.99
Nike Kids,Kids Clothing,Black,2155,Spain,2022-02-02,ORD-452,Cancelled,Credit/Debit Card,Black Track Pants,3,Standard,Size 10,Bottoms,29.99
Mango,Women's Clothing,Pink,2057,Hong Kong,2022-02-02,ORD-1585,Delivered,Credit/Debit Card,Pink Silk Blouse,2,Standard,Size XS,Tops,199.99
AllSaints,Men's Clothing,Black,2091,Tunisia,2022-02-02,ORD-1209,Shipped,Cash on Delivery,Black Leather Jacket,1,Express,Size M,Jackets,499.99
Banana Republic,Men's Clothing,White,2071,Hong Kong,2022-02-02,ORD-1161,Shipped,Credit/Debit Card,White Button-up Shirt,2,Standard,Size L,Shirts,69.99
Forever 21,Women's Clothing,Red,2140,United Arab Emirates,2022-02-03,ORD-895,Cancelled,PayPal,Red Plaid Skirt,5,Standard,Size S,Skirts,39.99
H&M Kids,Kids Clothing,Gray,2056,Egypt,2022-02-04,ORD-1127,Delivered,Credit/Debit Card,Gray Sweatshirt,2,Standard,Size 6,Tops,19.99
H&M Kids,Kids Clothing,Green,2220,India,2022-02-05,ORD-141,Delivered,Credit/Debit Card,Green Cargo Pants,3,Standard,Size 10,Pants,29.99
Forever 21,Women's Clothing,Red,2088,Germany,2022-02-06,ORD-1175,Shipped,Cash on Delivery,Red Plaid Skirt,1,Standard,Size S,Skirts,39.99
ASOS,Men's Clothing,Black,2042,Japan,2022-02-06,ORD-1118,Delivered,Credit/Debit Card,Men's Faux Leather Jacket,3,Standard,Size M,Jackets,79.99
Tommy Hilfiger,Men's Clothing,Green,2110,Mexico,2022-02-06,ORD-906,Cancelled,PayPal,Quilted Bomber Jacket,7,Standard,Size M,Jackets,89.99
Cole Haan,Men's Shoes,Brown,2155,Spain,2022-02-07,ORD-202,Shipped,Cash on Delivery,Leather Oxford Shoes,3,Express,Size 10.5,Dress Shoes,149.99
Burberry,Men's Clothing,Black,1989,Morocco,2022-02-08,ORD-1116,Delivered,Credit/Debit Card,Men's Hooded Parka,2,Standard,Size L,Jackets,599.99
Gap Kids,Kids Clothing,White,2047,Tunisia,2022-02-08,ORD-423,Cancelled,PayPal,White Lace Dress,9,Standard,Size 5,Dresses,39.99
Burberry,Men's Clothing,Black,2339,Greece,2022-02-08,ORD-416,Cancelled,PayPal,Men's Hooded Parka,7,Standard,Size L,Jackets,599.99
Ralph Lauren,Men's Clothing,White,2374,United Kingdom,2022-02-09,ORD-503,Delivered,Credit/Debit Card,White Oxford Shirt,1,Standard,Size L,Dress Shirts,99.99
AllSaints,Men's Clothing,Black,2021,Germany,2022-02-10,ORD-880,Cancelled,PayPal,Black Leather Jacket,6,Standard,Size M,Jackets,499.99
Tommy Hilfiger,Men's Clothing,Green,2052,Egypt,2022-02-11,ORD-206,Shipped,Cash on Delivery,Quilted Bomber Jacket,2,Express,Size M,Jackets,89.99
Burberry,Women's Clothing,Beige,2116,Canada,2022-02-12,ORD-265,Shipped,Cash on Delivery,Women's Trench Coat,1,Express,Size XS,Outerwear,1299.99
Mango,Women's Clothing,Black,2120,Italy,2022-02-12,ORD-909,Cancelled,PayPal,Wrap-Front Jumpsuit,6,Standard,Size 6,Jumpsuits,69.99
H&M Kids,Kids Clothing,Green,2007,Brazil,2022-02-12,ORD-561,Shipped,Credit/Debit Card,Green Cargo Pants,4,Standard,Size 10,Pants,29.99
Coach,Men's Clothing,Grey,2061,United States,2022-02-13,ORD-1314,Delivered,Credit/Debit Card,Grey Turtleneck Sweater,3,Standard,Size L,Sweaters,129.99
Patagonia,Men's Clothing,Navy Blue,2039,Portugal,2022-02-13,ORD-552,Shipped,Credit/Debit Card,Men's Down Jacket,4,Standard,Size L,Jackets,349.99
Ralph Lauren Kids,Kids Clothing,Yellow,2348,Netherlands,2022-02-14,ORD-573,Shipped,Credit/Debit Card,Yellow Polo Shirt,9,Standard,Size 7,Tops,149.99
Mango,Accessories,Silver,2147,Canada,2022-02-14,ORD-1515,Shipped,Cash on Delivery,Silver Stud Earrings,2,Standard,One Size,Jewelry,65
Ralph Lauren Kids,Kids Clothing,Orange and White,2417,Egypt,2022-02-15,ORD-1015,Delivered,Credit/Debit Card,Orange Striped Polo Shirt,5,Standard,Size 4,Tops,164.99
Coach,Accessories,Gray,2109,United Arab Emirates,2022-02-15,ORD-1373,Shipped,Credit/Debit Card,Wool Fedora Hat,2,Standard,Size M,Hats,195
Zara Kids,Kids Clothing,White,2010,Mexico,2022-02-17,ORD-1286,Delivered,Credit/Debit Card,White Eyelet Skirt,3,Standard,Size 10,Skirts,72.99
Nike Kids,Kids Clothing,Purple,2356,South Africa,2022-02-17,ORD-985,Delivered,Credit/Debit Card,Purple Leggings,1,Standard,Size 7,Bottoms,16.99
Zara Kids,Kids Clothing,Pink,2276,Tunisia,2022-02-17,ORD-297,Processing,Credit/Debit Card,Pink Ruffled Skirt,4,Standard,Size 6,Skirts,29.99
Nike,Men's Clothing,Grey,2003,China,2022-02-19,ORD-1213,Shipped,Cash on Delivery,Grey Sweatpants,2,Express,Size M,Sweatpants,49.99
ASOS,Men's Clothing,Black,2320,India,2022-02-19,ORD-138,Delivered,Credit/Debit Card,Men's Faux Leather Jacket,3,Standard,Size M,Jackets,79.99
Mango,Women's Clothing,Navy,2020,Greece,2022-02-19,ORD-1510,Shipped,Cash on Delivery,Velvet Jumpsuit,3,Standard,Size S,Jumpsuits & Rompers,178
Madewell,Women's Clothing,Navy/White,2042,United Arab Emirates,2022-02-19,ORD-247,Shipped,Cash on Delivery,Striped Sweater,6,Express,Size XS,Sweaters,98
Zara Kids,Kids Clothing,Purple and White,2030,Saudi Arabia,2022-02-21,ORD-1288,Delivered,Credit/Debit Card,Purple Floral Romper,1,Standard,Size 2,Rompers,94.99
Tumi,Men's Accessories,Black,2038,Mexico,2022-02-21,ORD-1357,Shipped,Credit/Debit Card,Black Leather Backpack,2,Standard,One Size,Backpacks,399.99
Levi's,Women's Clothing,Light Blue,2317,Germany,2022-02-21,ORD-341,Processing,Credit/Debit Card,Distressed Denim Shorts,3,Standard,Size M,Bottoms,49.99
Ralph Lauren Kids,Kids Clothing,Yellow,2121,Tunisia,2022-02-22,ORD-1133,Delivered,Credit/Debit Card,Yellow Polo Shirt,3,Standard,Size 7,Tops,149.99
H&M Kids,Kids Clothing,Orange,2047,Saudi Arabia,2022-02-22,ORD-1548,Delivered,Credit/Debit Card,Orange Cargo Shorts,2,Standard,Size 8,Shorts,22.99
Madewell,Women's Clothing,Navy/White,2057,China,2022-02-22,ORD-1087,Shipped,Credit/Debit Card,Striped Sweater,8,Standard,Size XS,Sweaters,98
H&M Kids,Kids Clothing,Blue,2145,Switzerland,2022-02-23,ORD-704,Shipped,Cash on Delivery,Blue Plaid Shirt,3,Express,Size 12,Tops,29.99
H&M,Men's Clothing,Brown,2401,France,2022-02-23,ORD-382,Cancelled,PayPal,Brown Leather Loafers,8,Standard,Size 10,Shoes,149.99
H&M,Women's Clothing,Cream,2069,India,2022-02-24,ORD-121,Delivered,Credit/Debit Card,Women's Faux Fur Coat,9,Standard,Size M,Outerwear,129.99
Tumi,Men's Accessories,Black,2340,Mexico,2022-02-25,ORD-937,Cancelled,PayPal,Black Leather Backpack,6,Standard,One Size,Backpacks,399.99
Brooks Brothers,Men's Shoes,Brown,2282,Germany,2022-02-25,ORD-361,Processing,PayPal,Brown Leather Loafers,2,Standard,Size 10,Loafers,199.99
Mango,Women's Clothing,Yellow,2107,Canada,2022-02-25,ORD-609,Delivered,Credit/Debit Card,Yellow Sundress,4,Standard,Size M,Dresses,129.99
The North Face,Women's Clothing,Black,2165,Germany,2022-02-25,ORD-823,Processing,Credit/Debit Card,Women's Puffer Jacket,10,Standard,Size S,Outerwear,199.99
Hugo Boss,Men's Clothing,Navy Blue,1991,Italy,2022-02-26,ORD-1164,Shipped,Credit/Debit Card,Navy Blue Suit,2,Standard,Size 42R,Suits,799.99
Mango,Women's Clothing,Caramel,2140,China,2022-02-27,ORD-111,Delivered,Credit/Debit Card,Leather Tote Bag,3,Standard,One Size,Handbags,195
Ralph Lauren,Men's Clothing,White,2067,Japan,2022-02-27,ORD-783,Processing,Credit/Debit Card,White Oxford Shirt,8,Express,Size L,Dress Shirts,99.99
Banana Republic,Men's Clothing,White,2046,India,2022-02-28,ORD-881,Cancelled,PayPal,White Button-up Shirt,2,Standard,Size L,Shirts,69.99
Ralph Lauren Kids,Kids Clothing,Yellow,2088,Italy,2022-02-28,ORD-713,Shipped,Cash on Delivery,Yellow Polo Shirt,7,Express,Size 7,Tops,149.99
Mango,Women's Clothing,Black,2130,South Africa,2022-03-01,ORD-1214,Shipped,Cash on Delivery,Black Leggings,1,Express,Size S,Leggings,89.99
J.Crew,Men's Clothing,Green,2245,Mexico,2022-03-02,ORD-470,Delivered,Credit/Debit Card,Green Cargo Pants,5,Standard,Size 32x32,Pants,89.99
Gap Kids,Kids Clothing,Yellow,2335,Japan,2022-03-03,ORD-566,Shipped,Credit/Debit Card,Yellow Raincoat,5,Standard,Size 4,Jackets,49.99
H&M Kids,Kids Clothing,Green,2334,United Kingdom,2022-03-03,ORD-421,Cancelled,PayPal,Green Cargo Pants,5,Standard,Size 10,Pants,29.99
Zara Kids,Kids Clothing,Red and Black,2241,China,2022-03-03,ORD-864,Processing,PayPal,Red Plaid Button-Up Shirt,8,Standard,Size 4,Tops,86.99
The North Face,Women's Clothing,Black,2044,United Arab Emirates,2022-03-05,ORD-1383,Shipped,Credit/Debit Card,Women's Puffer Jacket,2,Standard,Size S,Outerwear,199.99
Hugo Boss,Men's Clothing,Navy Blue,2154,Brazil,2022-03-05,ORD-184,Delivered,Credit/Debit Card,Navy Blue Suit,8,Standard,Size 42R,Suits,799.99
Coach,Accessories,Black,2179,Mexico,2022-03-06,ORD-678,Delivered,Credit/Debit Card,Leather Wallet,9,Standard,One Size,Wallets,250
Reebok,Men's Shoes,White,2125,United Kingdom,2022-03-06,ORD-1330,Delivered,Credit/Debit Card,Classic Leather Sneakers,2,Standard,Size 11,Athletic Shoes,79.99
Patagonia,Men's Clothing,Navy Blue,2201,France,2022-03-07,ORD-972,Delivered,Credit/Debit Card,Men's Down Jacket,3,Standard,Size L,Jackets,349.99
Zara,Men's Clothing,Brown,2073,France,2022-03-08,ORD-1534,Delivered,Cash on Delivery,Men's Leather Moto Jacket,2,Standard,Size XL,Jackets,599.99
H&M Kids,Kids Clothing,Green,2418,Saudi Arabia,2022-03-08,ORD-151,Delivered,Credit/Debit Card,Green Camo Pants,1,Standard,Size 5,Pants,24.99
Canada Goose,Men's Clothing,Green,2166,South Africa,2022-03-09,ORD-651,Delivered,Credit/Debit Card,Green Parka,4,Standard,Size L,Outerwear,699.99
Coachy,Women's Clothing,Black,2438,China,2022-03-09,ORD-647,Delivered,Credit/Debit Card,Black Pencil Skirt,8,Standard,Size 4,Skirts,179.99
Ralph Lauren Kids,Kids Clothing,Yellow and White,2098,Netherlands,2022-03-09,ORD-1439,Delivered,Credit/Debit Card,Yellow Floral Sundress,2,Standard,Size 12,Dresses,248.99
Mango,Women's Clothing,Pink/White,2148,Hong Kong,2022-03-10,ORD-1365,Shipped,Credit/Debit Card,Floral Midi Dress,2,Standard,Size 6,Dresses,148
Levi's,Men's Clothing,Blue,2029,India,2022-03-11,ORD-1102,Delivered,Credit/Debit Card,Men's Denim Jacket,2,Standard,Size XL,Jackets,119.99
Zara Kids,Kids Clothing,Red and Black,2108,Saudi Arabia,2022-03-11,ORD-1564,Delivered,Credit/Debit Card,Red Plaid Button-Up Shirt,1,Standard,Size 4,Tops,86.99
Madewell,Women's Clothing,Light Blue,2301,France,2022-03-15,ORD-415,Cancelled,PayPal,Women's Denim Jacket,8,Standard,Size S,Jackets,129.99
Madewell,Women's Clothing,Black,2095,Portugal,2022-03-15,ORD-1228,Processing,Cash on Delivery,High-Rise Skinny Jeans,3,Express,Size 28,Jeans,128
Ralph Lauren,Men's Clothing,Pink,2269,Canada,2022-03-15,ORD-782,Processing,Credit/Debit Card,Pink Polo Shirt,9,Express,Size M,Polo Shirts,69.99
Levi's,Men's Clothing,Blue,2115,Egypt,2022-03-15,ORD-1522,Shipped,Cash on Delivery,Men's Denim Jacket,2,Standard,Size XL,Jackets,119.99
Dr. Martens,Men's Shoes,Black,2075,Spain,2022-03-16,ORD-1452,Delivered,Credit/Debit Card,Black Leather Chelsea Boots,3,Standard,Size 10,Boots,169.99
Madewell,Women's Clothing,Navy/White,2148,Mexico,2022-03-17,ORD-807,Processing,Credit/Debit Card,Striped Sweater,4,Standard,Size XS,Sweaters,98
Coach,Women's Accessories,Black,2432,France,2022-03-17,ORD-757,Shipped,Cash on Delivery,Black Leather Crossbody Bag,4,Express,One Size,Bags,249.99
Mango,Women's Clothing,Yellow,2020,Canada,2022-03-18,ORD-1589,Delivered,Credit/Debit Card,Yellow Sundress,3,Standard,Size M,Dresses,129.99
H&M,Women's Clothing,Black,2287,China,2022-03-18,ORD-526,Delivered,Credit/Debit Card,Black Ankle Boots,4,Standard,Size 8,Shoes,129.95
Mango,Men's Clothing,Red/Blue,2028,China,2022-03-19,ORD-212,Shipped,Cash on Delivery,Checkered Button-Down Shirt,6,Express,Size L,Tops,49.99
J.Crew,Men's Clothing,Green,2034,France,2022-03-20,ORD-610,Delivered,Credit/Debit Card,Green Cargo Pants,10,Standard,Size 32x32,Pants,89.99
Mango,Women's Clothing,Navy,2144,Norway,2022-03-22,ORD-670,Delivered,Credit/Debit Card,Velvet Jumpsuit,2,Standard,Size S,Jumpsuits & Rompers,178
Topshop,Women's Clothing,Burgundy,2028,Brazil,2022-03-22,ORD-1533,Delivered,Cash on Delivery,Women's Faux Leather Jacket,2,Standard,Size M,Jackets,99.99
Canada Goose,Men's Clothing,Green,2026,Denmark,2022-03-22,ORD-371,Cancelled,PayPal,Green Parka,5,Standard,Size L,Outerwear,699.99
Levi's,Women's Clothing,Black,2176,Italy,2022-03-22,ORD-747,Shipped,Cash on Delivery,Black Skinny Jeans,5,Express,Size 28,Jeans,69.99
Barbour,Men's Clothing,Navy,2106,Italy,2022-03-22,ORD-1106,Delivered,Credit/Debit Card,Men's Quilted Jacket,2,Standard,Size L,Jackets,299.99
H&M Kids,Kids Clothing,Gray,2274,Tunisia,2022-03-23,ORD-147,Delivered,Credit/Debit Card,Gray Sweatshirt,3,Standard,Size 6,Tops,19.99
Nike Kids,Kids Clothing,Black,2090,Canada,2022-03-23,ORD-1152,Delivered,Credit/Debit Card,Black Track Pants,1,Standard,Size 10,Bottoms,29.99
Timberland,Men's Shoes,Brown,2116,Denmark,2022-03-23,ORD-1306,Delivered,Credit/Debit Card,Brown Leather Boots,2,Standard,Size 9.5,Boots,179.99
Banana Republic,Men's Clothing,White,2100,Brazil,2022-03-24,ORD-1441,Delivered,Credit/Debit Card,White Button-up Shirt,1,Standard,Size L,Shirts,69.99
Nike,Men's Clothing,Grey,2348,Netherlands,2022-03-24,ORD-653,Delivered,Credit/Debit Card,Grey Sweatpants,4,Standard,Size M,Sweatpants,49.99
Zara Kids,Kids Clothing,Pink,2092,Greece,2022-03-25,ORD-1557,Delivered,Credit/Debit Card,Pink Ruffled Skirt,1,Standard,Size 6,Skirts,29.99
Reebok,Men's Shoes,White,2073,Norway,2022-03-25,ORD-1190,Shipped,Cash on Delivery,Classic Leather Sneakers,3,Express,Size 11,Athletic Shoes,79.99
Nike Kids,Kids Clothing,Blue,2017,Norway,2022-03-26,ORD-1556,Delivered,Credit/Debit Card,Blue Graphic T-shirt,1,Standard,Size 5,Tops,24.99
Forever 21,Women's Clothing,Red,2338,United Kingdom,2022-03-26,ORD-1035,Delivered,Credit/Debit Card,Red Plaid Skirt,9,Standard,Size S,Skirts,39.99
Nike,Men's Clothing,Red,2140,India,2022-03-26,ORD-1384,Shipped,Credit/Debit Card,Men's Hooded Windbreaker,2,Standard,Size M,Jackets,79.99
The North Face,Men's Clothing,Grey,2217,Portugal,2022-03-27,ORD-130,Delivered,Credit/Debit Card,Men's Fleece Jacket,5,Standard,Size M,Jackets,99.99
H&M Kids,Kids Clothing,Blue,2393,China,2022-03-27,ORD-171,Delivered,Credit/Debit Card,Blue Denim Skirt,6,Standard,Size 8,Skirts,32.99
Suede Co.,Women's Clothing,Brown,2070,Saudi Arabia,2022-03-28,ORD-1399,Shipped,Credit/Debit Card,Women's Leather Biker Jacket,2,Standard,Size S,Jackets,399.99
Equipment,Women's Clothing,Ivory,2014,Japan,2022-03-29,ORD-508,Delivered,Credit/Debit Card,Ivory Silk Blouse,8,Standard,Size M,Blouses,249.99
Gap Kids,Kids Clothing,Yellow,2367,France,2022-03-29,ORD-846,Processing,Credit/Debit Card,Yellow Raincoat,2,Standard,Size 4,Jackets,49.99
Zara Kids,Kids Clothing,Pink,2227,Hong Kong,2022-03-30,ORD-717,Shipped,Cash on Delivery,Pink Ruffled Skirt,5,Express,Size 6,Skirts,29.99
H&M Kids,Kids Clothing,Orange,2089,United Arab Emirates,2022-03-30,ORD-1408,Delivered,Credit/Debit Card,Orange Cargo Shorts,2,Standard,Size 8,Shorts,22.99
Coach,Accessories,Gray,2129,Egypt,2022-03-31,ORD-1093,Shipped,Credit/Debit Card,Wool Fedora Hat,5,Standard,Size M,Hats,195
Zara,Men's Clothing,Grey,2355,South Africa,2022-03-31,ORD-328,Processing,Credit/Debit Card,Grey Herringbone Blazer,6,Standard,Size 40R,Blazers,599.99
Mango,Women's Accessories,Brown,2001,India,2022-03-31,ORD-938,Cancelled,PayPal,Brown Leather Gloves,2,Standard,Size M,Gloves,129.99
Coachy,Women's Clothing,Black,2110,Spain,2022-04-01,ORD-1207,Shipped,Cash on Delivery,Black Pencil Skirt,3,Express,Size 4,Skirts,179.99
Ralph Lauren,Men's Clothing,Navy,2078,Greece,2022-04-02,ORD-1054,Shipped,Credit/Debit Card,Wool Peacoat,4,Standard,Size L,Jackets,199.99
Nike Kids,Kids Clothing,Green Camouflage,2142,Canada,2022-04-03,ORD-873,Cancelled,PayPal,Green Camo Hoodie,8,Standard,Size M,Sweatshirts,21.99
Hermès,Accessories,Black,2406,United Arab Emirates,2022-04-03,ORD-112,Delivered,Credit/Debit Card,Oversized Sunglasses,4,Standard,One Size,Sunglasses,965
Ralph Lauren Kids,Kids Clothing,Yellow and White,2105,Japan,2022-04-06,ORD-1579,Delivered,Credit/Debit Card,Yellow Floral Sundress,2,Standard,Size 12,Dresses,248.99
Ralph Lauren,Men's Clothing,White,2083,Portugal,2022-04-06,ORD-1203,Shipped,Cash on Delivery,White Oxford Shirt,2,Express,Size L,Dress Shirts,99.99
H&M,Men's Clothing,Khaki,2363,Morocco,2022-04-07,ORD-1080,Shipped,Credit/Debit Card,Slim-Fit Khaki Pants,9,Standard,Size 32x32,Pants,98
H&M,Men's Clothing,Khaki,2296,United States,2022-04-09,ORD-940,Cancelled,PayPal,Slim-Fit Khaki Pants,9,Standard,Size 32x32,Pants,98
Levi's,Men's Clothing,Blue,2287,China,2022-04-10,ORD-122,Delivered,Credit/Debit Card,Men's Denim Jacket,5,Standard,Size XL,Jackets,119.99
Levi's,Women's Clothing,Black,2221,Saudi Arabia,2022-04-11,ORD-887,Cancelled,PayPal,Black Skinny Jeans,10,Standard,Size 28,Jeans,69.99
Gap Kids,Kids Clothing,Red,2022,Japan,2022-04-11,ORD-1412,Delivered,Credit/Debit Card,Red Puffer Jacket,2,Standard,Size 14/16,Jackets,79.99
Coach,Men's Clothing,Navy Blue,1993,China,2022-04-12,ORD-1596,Delivered,Credit/Debit Card,Navy Blue Chinos,2,Standard,Size 34x32,Pants,98.99
Zara,Women's Clothing,Blue,2101,Germany,2022-04-12,ORD-1599,Delivered,Credit/Debit Card,Blue Floral Dress,2,Standard,Size S,Dresses,79.99
Zara,Women's Clothing,Blue,2068,Tunisia,2022-04-14,ORD-479,Delivered,Credit/Debit Card,Blue Floral Dress,9,Standard,Size S,Dresses,79.99
Marmot,Women's Clothing,Navy Blue,2254,Germany,2022-04-14,ORD-417,Cancelled,PayPal,Women's Down Jacket,6,Standard,Size M,Outerwear,299.99
Canada Goose,Men's Clothing,Dark Green,2073,Norway,2022-04-14,ORD-1528,Delivered,Cash on Delivery,Men's Parka,1,Standard,Size XL,Jackets,999.99
Rebecca Taylor,Women's Clothing,White,2048,Spain,2022-04-14,ORD-891,Cancelled,PayPal,White Eyelet Blouse,6,Standard,Size S,Tops,179.99
Mango,Accessories,Silver,1993,Greece,2022-04-15,ORD-815,Processing,Credit/Debit Card,Silver Stud Earrings,5,Standard,One Size,Jewelry,65
Coach,Men's Clothing,Grey,2295,Brazil,2022-04-16,ORD-614,Delivered,Credit/Debit Card,Grey Turtleneck Sweater,6,Standard,Size L,Sweaters,129.99
Hermès,Accessories,Black,2021,Greece,2022-04-16,ORD-1372,Shipped,Credit/Debit Card,Oversized Sunglasses,3,Standard,One Size,Sunglasses,965
Mango,Women's Clothing,Brown,2091,Japan,2022-04-18,ORD-271,Shipped,Cash on Delivery,Women's Suede Trench Coat,9,Express,Size L,Outerwear,279.99
Ralph Lauren,Men's Clothing,Pink,2126,Portugal,2022-04-19,ORD-1202,Shipped,Cash on Delivery,Pink Polo Shirt,3,Express,Size M,Polo Shirts,69.99
Coach,Accessories,Gray,2319,Germany,2022-04-19,ORD-673,Delivered,Credit/Debit Card,Wool Fedora Hat,4,Standard,Size M,Hats,195
Coach,Men's Clothing,Black,2349,South Africa,2022-04-19,ORD-1099,Shipped,Credit/Debit Card,Black Leather Jacket,7,Standard,Size M,Jackets,899.99
Allen Edmonds,Men's Accessories,Brown,2112,Hong Kong,2022-04-20,ORD-1318,Delivered,Credit/Debit Card,Brown Leather Belt,3,Standard,Size 34,Belts,79.99
Madewell,Women's Clothing,Light Blue,2348,France,2022-04-20,ORD-135,Delivered,Credit/Debit Card,Women's Denim Jacket,9,Standard,Size S,Jackets,129.99
Clarks,Men's Shoes,Taupe,2103,Denmark,2022-04-20,ORD-1188,Shipped,Cash on Delivery,Suede Desert Boots,3,Express,Size 9,Casual Shoes,99.99
Banana Republic,Women's Clothing,Cream,2085,Denmark,2022-04-21,ORD-1051,Shipped,Credit/Debit Card,Cable Knit Sweater,8,Standard,Size S,Sweaters,79.99
Mango,Accessories,Silver,2076,India,2022-04-22,ORD-955,Cancelled,Credit/Debit Card,Silver Stud Earrings,9,Standard,One Size,Jewelry,65
Madewell,Women's Clothing,Blue,2083,Netherlands,2022-04-22,ORD-753,Shipped,Cash on Delivery,Blue Denim Jacket,5,Express,Size M,Jackets,99.99
Ralph Lauren Kids,Kids Clothing,Yellow,2133,Japan,2022-04-22,ORD-1413,Delivered,Credit/Debit Card,Yellow Polo Shirt,2,Standard,Size 7,Tops,149.99
Ralph Lauren,Men's Clothing,Navy,2104,Egypt,2022-04-23,ORD-634,Delivered,Credit/Debit Card,Wool Peacoat,8,Standard,Size L,Jackets,199.99
